Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
music-core,com.sismics.util,EnvironmentUtil,isWindows,3,1,0
music-core,com.sismics.util,EnvironmentUtil,isMacOs,3,1,0
music-core,com.sismics.util,EnvironmentUtil,isUnix,3,1,0
music-core,com.sismics.util,EnvironmentUtil,isUnitTest,3,1,0
music-core,com.sismics.util,EnvironmentUtil,isDevMode,3,1,0
music-core,com.sismics.util,EnvironmentUtil,getWindowsAppData,3,1,0
music-core,com.sismics.util,EnvironmentUtil,getMacOsUserHome,3,1,0
music-core,com.sismics.util,EnvironmentUtil,getMusicHome,3,1,0
music-core,com.sismics.util,EnvironmentUtil,isWebappContext,3,1,0
music-core,com.sismics.util,EnvironmentUtil,setWebappContext,3,1,1
music-core,com.sismics.util,NetworkUtil,mapTcpPort,22,3,1
music-core,com.sismics.util,MathUtil,clip,9,3,3
music-core,com.sismics.util,HttpUtil,readUrlIntoString,26,3,1
music-core,com.sismics.util,HttpUtil,postUrl,34,4,2
music-core,com.sismics.util,DateUtil,guessTimezoneOffset,10,3,1
music-core,com.sismics.util,MessageUtil,getMessage,11,1,3
music-core,com.sismics.util,MessageUtil,getMessage,3,1,1
music-core,com.sismics.util,ResourceUtil,list,45,11,3
music-core,com.sismics.util,ResourceUtil,list,3,1,2
music-core,com.sismics.util,FilenameUtil,cleanFileName,10,3,1
music-core,com.sismics.util,LyricUtil,getLyrics,24,6,2
music-core,com.sismics.util,LyricUtil,wikiStyle,12,1,1
music-core,com.sismics.util,LocaleUtil,getLocale,13,3,1
music-core,com.sismics.util,LocaleUtil,getLocaleIdFromAcceptLanguage,21,5,1
music-core,com.sismics.util,TestLyricUtil,getLyrics,17,1,0
music-core,com.sismics.util,TestJaudioTagger,jaudioTaggerTest,9,1,0
music-core,com.sismics.util,TestNetworkUtil,testUpnp,3,1,0
music-core,com.sismics.util,TestResourceUtil,listFilesTest,10,1,0
music-core,com.sismics.util,TestDateUtil,guessTimezoneCodeTest,3,1,0
music-core,com.sismics.util.lastfm,LastFmUtil,getLovedTracks,4,1,4
music-core,com.sismics.util.lastfm,LastFmUtil,getAllTracks,4,1,4
music-core,com.sismics.util.log4j,LogEntry,LogEntry,6,1,4
music-core,com.sismics.util.log4j,LogEntry,getTimestamp,3,1,0
music-core,com.sismics.util.log4j,LogEntry,getLevel,3,1,0
music-core,com.sismics.util.log4j,LogEntry,getTag,3,1,0
music-core,com.sismics.util.log4j,LogEntry,getMessage,3,1,0
music-core,com.sismics.util.log4j,MemoryAppender,requiresLayout,3,1,0
music-core,com.sismics.util.log4j,MemoryAppender,close,6,2,0
music-core,com.sismics.util.log4j,MemoryAppender,append,12,3,1
music-core,com.sismics.util.log4j,MemoryAppender,getLoggerName,4,1,1
music-core,com.sismics.util.log4j,MemoryAppender,getLogList,3,1,0
music-core,com.sismics.util.log4j,MemoryAppender,setSize,3,1,1
music-core,com.sismics.util.log4j,MemoryAppender,find,25,5,2
music-core,com.sismics.util.log4j,LogCriteria,getLevel,3,1,0
music-core,com.sismics.util.log4j,LogCriteria,setLevel,3,1,1
music-core,com.sismics.util.log4j,LogCriteria,getTag,3,1,0
music-core,com.sismics.util.log4j,LogCriteria,setTag,3,1,1
music-core,com.sismics.util.log4j,LogCriteria,getMessage,3,1,0
music-core,com.sismics.util.log4j,LogCriteria,setMessage,3,1,1
music-core,com.sismics.util.io,TranscodedInputStream,TranscodedInputStream,15,3,2
music-core,com.sismics.util.io,TranscodedInputStream,read,8,2,0
music-core,com.sismics.util.io,TranscodedInputStream,read,15,4,1
music-core,com.sismics.util.io,TranscodedInputStream,read,15,4,3
music-core,com.sismics.util.io,TranscodedInputStream,close,5,2,0
music-core,com.sismics.util.io,InputStreamReaderThread,InputStreamReaderThread,5,1,2
music-core,com.sismics.util.io,InputStreamReaderThread,run,20,3,0
music-core,com.sismics.util.mime,MimeTypeUtil,guessMimeType,33,8,1
music-core,com.sismics.util.context,ThreadLocalContext,ThreadLocalContext,2,1,0
music-core,com.sismics.util.context,ThreadLocalContext,get,8,2,0
music-core,com.sismics.util.context,ThreadLocalContext,cleanup,3,1,0
music-core,com.sismics.util.context,ThreadLocalContext,getHandle,3,1,0
music-core,com.sismics.util.context,ThreadLocalContext,setHandle,3,1,1
music-core,com.sismics.util.dbi,SQLSplitter,consumeQuote,51,18,2
music-core,com.sismics.util.dbi,SQLSplitter,isNewLine,3,1,1
music-core,com.sismics.util.dbi,SQLSplitter,consumeTillNextLine,5,3,2
music-core,com.sismics.util.dbi,SQLSplitter,isNext,4,2,3
music-core,com.sismics.util.dbi,SQLSplitter,consumeComment,27,12,2
music-core,com.sismics.util.dbi,SQLSplitter,consumeParentheses,15,5,2
music-core,com.sismics.util.dbi,SQLSplitter,nextChar,10,4,2
music-core,com.sismics.util.dbi,SQLSplitter,splitSQL,7,2,1
music-core,com.sismics.util.dbi,SQLSplitter,SQLSplitter,3,1,1
music-core,com.sismics.util.dbi,SQLSplitter,iterator,34,5,0
music-core,com.sismics.util.dbi,SQLSplitter,hasNext,3,1,0
music-core,com.sismics.util.dbi,SQLSplitter,next,22,5,0
music-core,com.sismics.util.dbi,SQLSplitter,remove,3,1,0
music-core,com.sismics.util.dbi,ObjectMapper,ObjectMapper,3,1,1
music-core,com.sismics.util.dbi,ObjectMapper,ObjectMapper,3,1,0
music-core,com.sismics.util.dbi,ObjectMapper,ObjectMapper,3,1,1
music-core,com.sismics.util.dbi,ObjectMapper,extractByName,3,1,2
music-core,com.sismics.util.dbi,ObjectMapper,extractByIndex,3,1,2
music-core,com.sismics.util.dbi,BaseResultSetMapper,getColumns,0,1,0
music-core,com.sismics.util.dbi,BaseResultSetMapper,getJoinedColumns,3,1,0
music-core,com.sismics.util.dbi,BaseResultSetMapper,getJoinedColumns,8,2,1
music-core,com.sismics.util.dbi,BaseDao,findByCriteria,3,1,4
music-core,com.sismics.util.dbi,BaseDao,findByCriteria,7,2,3
music-core,com.sismics.util.dbi,BaseDao,findByCriteria,3,1,1
music-core,com.sismics.util.dbi,BaseDao,findFirstByCriteria,4,1,1
music-core,com.sismics.util.dbi,BaseDao,getQueryParam,0,1,2
music-core,com.sismics.util.dbi,DbOpenHelper,DbOpenHelper,3,1,1
music-core,com.sismics.util.dbi,DbOpenHelper,open,36,4,0
music-core,com.sismics.util.dbi,DbOpenHelper,executeAllScript,15,3,1
music-core,com.sismics.util.dbi,DbOpenHelper,executeScript,22,5,1
music-core,com.sismics.util.dbi,DbOpenHelper,onCreate,0,1,0
music-core,com.sismics.util.dbi,DbOpenHelper,onUpgrade,0,1,2
music-core,com.sismics.util.dbi,DbOpenHelper,getExceptions,3,1,0
music-core,com.sismics.util.dbi,DbOpenHelper,setHaltOnError,3,1,1
music-core,com.sismics.util.dbi,DbOpenHelper,setFormat,2,1,1
music-core,com.sismics.util.dbi,DBIF,createDbi,47,3,0
music-core,com.sismics.util.dbi,DBIF,onCreate,3,1,0
music-core,com.sismics.util.dbi,DBIF,onUpgrade,5,2,2
music-core,com.sismics.util.dbi,DBIF,DBIF,2,1,0
music-core,com.sismics.util.dbi,DBIF,get,3,1,0
music-core,com.sismics.util.dbi,DBIF,reset,9,2,0
music-core,com.sismics.util.dbi.filter,FilterColumn,FilterColumn,4,1,2
music-core,com.sismics.util.dbi.filter,FilterColumn,getColumn,3,1,0
music-core,com.sismics.util.dbi.filter,FilterColumn,getFilter,3,1,0
music-core,com.sismics.util.dbi.filter,FilterColumn,getPredicate,0,1,0
music-core,com.sismics.util.dbi.filter,FilterColumn,getParamValue,0,1,0
music-core,com.sismics.util.dbi.filter,FilterColumn,getParamName,3,1,0
music-core,com.sismics.util.dbi.filter,FilterColumn,hasParam,3,1,0
music-core,com.sismics.util.dbi.filter,FilterCriteria,FilterCriteria,3,1,1
music-core,com.sismics.util.dbi.filter,FilterCriteria,getFilterColumnList,3,1,0
music-core,com.sismics.music.core.exception,NonWritableException,NonWritableException,3,1,1
music-core,com.sismics.music.core.service.albumart,AlbumArtService,importAlbumArt,22,4,3
music-core,com.sismics.music.core.service.albumart,AlbumArtService,importAlbumArt,6,1,3
music-core,com.sismics.music.core.service.albumart,AlbumArtService,deleteAlbumArt,5,2,1
music-core,com.sismics.music.core.service.albumart,AlbumArtService,deleteAlbumArt,9,1,2
music-core,com.sismics.music.core.service.albumart,AlbumArtService,getAlbumArtFile,4,1,2
music-core,com.sismics.music.core.service.albumart,AlbumArtService,getAlbumArtFileName,3,1,2
music-core,com.sismics.music.core.service.albumart,AlbumArtFilenameFilter,accept,7,2,2
music-core,com.sismics.music.core.service.albumart,AlbumArtImporter,scanDirectory,24,7,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,ImportAudioService,2,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,startUp,2,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,run,61,11,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,isProcessRunning,9,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,shutDown,2,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,getYoutubeDlVersion,11,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,getFfmpegVersion,12,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,downloadAudio,5,2,3
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,getImportAudioList,14,3,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,cleanup,10,3,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,retryImportAudio,15,4,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,killImportAudio,14,4,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,importFile,30,5,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,getImportedFileList,18,4,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,guessTags,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,guessTags,33,4,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioService,tagFile,37,2,7
music-core,com.sismics.music.core.service.importaudio,ImportAudio,ImportAudio,13,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,ImportAudio,6,1,3
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getUrl,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getQuality,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getFormat,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getProgress,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,setProgress,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getTotalSize,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,setTotalSize,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getDownloadSpeed,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,setDownloadSpeed,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getMessage,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,setMessage,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getStatus,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,setStatus,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getWorkingFiles,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,addWorkingFiles,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getId,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,getProcess,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudio,setProcess,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudio,toString,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,ImportAudioFile,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getFile,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getTitle,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,setTitle,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getArtist,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,setArtist,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getAlbumArtist,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,setAlbumArtist,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getAlbum,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,setAlbum,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getOrder,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,setOrder,3,1,1
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,getYear,3,1,0
music-core,com.sismics.music.core.service.importaudio,ImportAudioFile,setYear,3,1,1
music-core,com.sismics.music.core.service.importaudio,TestImportAudioService,testDependencies,4,1,0
music-core,com.sismics.music.core.service.lastfm,LastFmService,runOneIteration,12,2,0
music-core,com.sismics.music.core.service.lastfm,LastFmService,scheduler,3,1,0
music-core,com.sismics.music.core.service.lastfm,LastFmService,createSession,5,1,2
music-core,com.sismics.music.core.service.lastfm,LastFmService,restoreSession,5,1,1
music-core,com.sismics.music.core.service.lastfm,LastFmService,getInfo,4,1,1
music-core,com.sismics.music.core.service.lastfm,LastFmService,nowPlayingTrack,10,1,2
music-core,com.sismics.music.core.service.lastfm,LastFmService,scrobbleTrack,10,1,2
music-core,com.sismics.music.core.service.lastfm,LastFmService,scrobbleTrackList,13,2,3
music-core,com.sismics.music.core.service.lastfm,LastFmService,loveTrack,6,1,2
music-core,com.sismics.music.core.service.lastfm,LastFmService,unloveTrack,6,1,2
music-core,com.sismics.music.core.service.lastfm,LastFmService,updateLocalData,12,3,3
music-core,com.sismics.music.core.service.lastfm,LastFmService,importTrackPlayCount,27,4,1
music-core,com.sismics.music.core.service.lastfm,LastFmService,importLovedTrack,27,4,1
music-core,com.sismics.music.core.service.lastfm,LastFmService,searchAlbumArt,3,1,1
music-core,com.sismics.music.core.service.collection,CollectionVisitor,CollectionVisitor,4,1,1
music-core,com.sismics.music.core.service.collection,CollectionVisitor,visitFile,9,2,2
music-core,com.sismics.music.core.service.collection,CollectionVisitor,preVisitDirectory,3,1,2
music-core,com.sismics.music.core.service.collection,CollectionVisitor,visitFileFailed,4,1,2
music-core,com.sismics.music.core.service.collection,CollectionVisitor,index,9,1,0
music-core,com.sismics.music.core.service.collection,CollectionVisitor,getFileNameSet,3,1,0
music-core,com.sismics.music.core.service.collection,CollectionWatchService,CollectionWatchService,2,1,0
music-core,com.sismics.music.core.service.collection,CollectionWatchService,startUp,17,2,0
music-core,com.sismics.music.core.service.collection,CollectionWatchService,watchDirectory,20,1,1
music-core,com.sismics.music.core.service.collection,CollectionWatchService,preVisitDirectory,4,1,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,visitFileFailed,4,1,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,unwatchDirectory,11,3,1
music-core,com.sismics.music.core.service.collection,CollectionWatchService,run,35,9,0
music-core,com.sismics.music.core.service.collection,CollectionWatchService,shutDown,8,1,0
music-core,com.sismics.music.core.service.collection,CollectionWatchService,watchPath,3,1,1
music-core,com.sismics.music.core.service.collection,CollectionWatchService,indexNewFile,22,3,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,indexFolder,13,1,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,visitFile,4,1,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,visitFileFailed,4,1,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,pathRemoved,11,2,2
music-core,com.sismics.music.core.service.collection,CollectionWatchService,getParentDirectory,11,3,1
music-core,com.sismics.music.core.service.collection,CollectionWatchService,cleanupOrphans,9,1,0
music-core,com.sismics.music.core.service.collection,CollectionService,CollectionService,2,1,0
music-core,com.sismics.music.core.service.collection,CollectionService,startUp,2,1,0
music-core,com.sismics.music.core.service.collection,CollectionService,shutDown,2,1,0
music-core,com.sismics.music.core.service.collection,CollectionService,runOneIteration,3,1,0
music-core,com.sismics.music.core.service.collection,CollectionService,scheduler,3,1,0
music-core,com.sismics.music.core.service.collection,CollectionService,addDirectoryToIndex,22,5,1
music-core,com.sismics.music.core.service.collection,CollectionService,removeDirectoryFromIndex,20,5,1
music-core,com.sismics.music.core.service.collection,CollectionService,indexFile,23,3,2
music-core,com.sismics.music.core.service.collection,CollectionService,readTrackMetadata,74,8,3
music-core,com.sismics.music.core.service.collection,CollectionService,getDirectoryUpdateDate,9,1,1
music-core,com.sismics.music.core.service.collection,CollectionService,reindex,7,2,0
music-core,com.sismics.music.core.service.collection,CollectionService,updateScore,2,1,0
music-core,com.sismics.music.core.service.collection,TestAlbumArtImporter,testScanDirectoryNone,5,1,0
music-core,com.sismics.music.core.service.collection,TestAlbumArtImporter,testScanDirectoryMany,6,1,0
music-core,com.sismics.music.core.service.collection,TestAlbumArtImporter,testScanDirectoryOne,6,1,0
music-core,com.sismics.music.core.service.collection,TestAlbumArtImporter,testScanDirectoryOneFallback,6,1,0
music-core,com.sismics.music.core.service.player,PlayerService,PlayerService,3,1,0
music-core,com.sismics.music.core.service.player,PlayerService,notifyPlaying,17,3,4
music-core,com.sismics.music.core.service.player,PlayerStatus,PlayerStatus,5,1,3
music-core,com.sismics.music.core.service.player,PlayerStatus,getTrack,3,1,0
music-core,com.sismics.music.core.service.player,PlayerStatus,getStartDate,3,1,0
music-core,com.sismics.music.core.service.player,PlayerStatus,getDuration,3,1,0
music-core,com.sismics.music.core.service.player,PlayerStatus,setDuration,3,1,1
music-core,com.sismics.music.core.service.player,PlayerStatus,isCommited,3,1,0
music-core,com.sismics.music.core.service.player,PlayerStatus,setCommited,3,1,1
music-core,com.sismics.music.core.service.transcoder,TranscoderService,getTranscodedInputStream,4,1,4
music-core,com.sismics.music.core.service.transcoder,TranscoderService,getProcessBuilder,18,5,3
music-core,com.sismics.music.core.service.transcoder,TranscoderService,getSuitableTranscoder,11,3,1
music-core,com.sismics.music.core.dao.dbi,UserAlbumDao,create,8,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,getQueryParam,11,2,2
music-core,com.sismics.music.core.dao.dbi,UserDao,authenticate,9,2,2
music-core,com.sismics.music.core.dao.dbi,UserDao,create,11,2,1
music-core,com.sismics.music.core.dao.dbi,UserDao,update,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,updatePassword,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,updateLastFmSessionToken,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,getActiveById,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,getActiveByUsername,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,getActiveByPasswordResetKey,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,delete,4,1,1
music-core,com.sismics.music.core.dao.dbi,UserDao,hashPassword,3,1,1
music-core,com.sismics.music.core.dao.dbi,PlaylistDao,getQueryParam,26,6,2
music-core,com.sismics.music.core.dao.dbi,PlaylistDao,create,5,1,1
music-core,com.sismics.music.core.dao.dbi,PlaylistDao,update,4,1,1
music-core,com.sismics.music.core.dao.dbi,PlaylistDao,delete,5,1,1
music-core,com.sismics.music.core.dao.dbi,PlaylistDao,getDefaultPlaylistByUserId,3,1,1
music-core,com.sismics.music.core.dao.dbi,PlaylistDao,assembleResultList,12,2,1
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,create,8,1,1
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,getActiveUserTrack,4,1,2
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,getOrCreateUserTrack,10,2,2
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,update,5,1,1
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,incrementPlayCount,5,1,2
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,initPlayCount,7,2,3
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,like,5,1,2
music-core,com.sismics.music.core.dao.dbi,UserTrackDao,unlike,5,1,2
music-core,com.sismics.music.core.dao.dbi,TranscoderDao,create,7,1,1
music-core,com.sismics.music.core.dao.dbi,TranscoderDao,update,5,1,1
music-core,com.sismics.music.core.dao.dbi,TranscoderDao,getActiveById,5,1,1
music-core,com.sismics.music.core.dao.dbi,TranscoderDao,delete,4,1,1
music-core,com.sismics.music.core.dao.dbi,TranscoderDao,findAll,5,1,0
music-core,com.sismics.music.core.dao.dbi,RolePrivilegeDao,findByRoleId,9,2,1
music-core,com.sismics.music.core.dao.dbi,ArtistDao,getQueryParam,16,3,2
music-core,com.sismics.music.core.dao.dbi,ArtistDao,create,7,1,1
